cluster,score,size,category
-1,61.776935145115175,9761,Good
0,58.89127139503003,736,Moderate
1,51.85852843701271,925,Moderate
4,38.7641025941382,924,Marginal
2,24.214820653964637,1399,Marginal
3,21.332111069694626,994,Marginal
