cluster,size,size_pct,temperature_mean,temperature_std,windspeed_mean,windspeed_std,humidity_mean,humidity_std,precipitation_mean,precipitation_std,dewpoint_mean,dewpoint_std,cloud_cover_mean,cloud_cover_std,pressure_mean,pressure_std,solar_radiation_mean,solar_radiation_std,sunshine_duration_mean,sunshine_duration_std,ndvi_mean,ndvi_std,elevation_mean,elevation_std
-1,9761,66.22565981409865,22.009794078475565,3.9327823505780497,5.026124372502816,1.7478897782019924,61.82563261960865,14.851061212283835,0.0,0.0,13.917908001229383,1.2572792020649968,39.34043643069358,17.710703816804063,992.9426595635692,5.337901485627027,5.297337118922613,1.7620605120730306,7.3136448511701895,2.5176406730330916,8129.7629341256015,696.2745470133194,156.4929822764061,42.15159236204897
0,736,4.993554515231699,23.74279891304348,0.35724157538350726,7.030163043478261,0.37130104117356727,55.33016304347826,2.0887682730620756,0.0,0.0,14.249864130434782,0.3445592401165857,9.945652173913043,2.1117829739801737,988.9633152173913,3.6367529643394927,6.506517314198191,0.025832326432135698,8.188966863648874,1.777564834670364e-15,8303.697010869566,590.5738607011268,193.0733695652174,17.02579228054432
1,925,6.275866748083317,17.68281081081081,0.9772281078513726,3.906918918918919,0.13815308858753708,72.54702702702703,1.81480334293035,0.0,0.0,12.679351351351352,0.5860717518189207,34.380540540540544,7.012515846354894,994.0076756756757,4.928993151524307,5.337604699079364,0.5156841200313063,8.177901825149865,0.016726341584149623,8178.549189189189,687.9169802075623,164.88432432432433,35.565448216226756
2,1399,9.49182441142547,13.937097927090779,0.2900158073536912,4.415511079342387,0.6219595053600964,82.01715511079342,4.247155766051236,0.0,0.0,10.905075053609721,0.5937164821467016,59.26090064331665,4.10029581831646,990.2020014295927,4.663607805699049,0.4162414778406847,0.7569393563560571,0.0,0.0,8066.488920657613,839.1724811999858,175.91708363116513,35.338667860266156
3,994,6.744012483886289,11.664688128772635,0.11655750893936694,3.245472837022133,0.05389770407103144,85.01408450704226,0.1673284451650042,0.0,0.0,9.238531187122737,0.11657350128399913,39.056338028169016,0.6693137806600168,993.7361167002011,2.1391976478339387,0.8546438666519441,0.8977325290389297,0.0,0.0,7975.291750503018,720.2799789868235,165.06237424547282,22.65521894431134
4,924,6.269082027274578,20.606493506493507,1.180824142006613,3.748593073593074,0.8133422684920456,72.1926406926407,4.512857514186297,0.0,0.0,15.389718614718618,0.3228601977669091,45.01298701298701,7.80559041791921,994.16341991342,3.859636894697425,0.6437404805706971,0.5716984076169116,0.0,0.0,8055.79329004329,704.6964811693607,142.24891774891776,36.87457510514519
