PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,2016,26.25,92.25,16.13,19.86,24.34,27.22,27.45,28.59,28.05,28.79,27.27,25.62,21.99,19.23,24.55
T2M,2016,26.25,92.75,16.34,20.12,24.57,27.59,27.57,28.52,27.92,28.81,27.16,25.66,21.99,19.44,24.64
T2M,2016,26.75,90.25,12.71,16.24,20.63,23.48,23.89,25.13,24.95,25.45,24.04,22.14,18.63,16.03,21.12
T2M,2016,26.75,90.75,13.58,17,21.11,24.02,24.53,25.77,25.65,26.21,24.79,22.94,19.47,16.91,21.84
T2M,2016,26.75,91.25,14.12,17.55,21.47,24.31,24.92,26.21,26.09,26.65,25.22,23.39,19.96,17.3,22.28
T2M,2016,26.75,91.75,13.56,16.74,20.53,23.28,24.17,25.56,25.42,26.07,24.6,22.86,19.44,16.81,21.59
T2M,2016,26.75,92.25,13.95,17.29,21.27,24.16,24.84,26.18,26,26.81,25.13,23.45,20.03,17.42,22.22
T2M,2016,26.75,92.75,14.74,18.18,22.33,25.35,25.72,27,26.71,27.7,25.85,24.22,20.66,18.07,23.05
T2M,2016,27.25,90.25,4.68,7.51,10.64,14.12,15.56,17.78,17.91,18.2,16.63,14.2,10.92,8.76,13.09
T2M,2016,27.25,90.75,5.62,8.35,11.48,14.86,16.32,18.36,18.59,19.02,17.42,14.99,11.67,9.54,13.86
T2M,2016,27.25,91.25,7.59,10.26,13.76,17.1,18.24,20.05,20.34,20.89,19.31,16.82,13.55,11.22,15.77
T2M,2016,27.25,91.75,5.48,8.15,11.01,14.31,15.92,17.95,18.23,18.77,17.25,14.8,11.58,9.38,13.58
T2M,2016,27.25,92.25,6.03,8.92,11.87,15.25,16.74,18.74,18.97,19.57,17.98,15.64,12.3,9.98,14.35
T2M,2016,27.25,92.75,8.44,11.42,14.68,17.99,19.15,21.04,21.16,21.99,20.19,18.06,14.54,12.13,16.75
T2M,2016,27.75,90.25,-5.11,-1.81,0.35,3.98,6.66,9.73,10.21,9.97,8.43,5.33,1.7,-0.44,4.09
T2M,2016,27.75,90.75,-4.77,-1.53,0.78,4.26,7.1,9.97,10.53,10.31,8.88,5.63,2.01,-0.15,4.43
